url_path,views_total,views_unique
/grp-bork/gunc_workflow,5,5
/grp-bork/gunc_workflow/actions,2,2
/grp-bork/gunc_workflow/graphs/contributors,2,2
/grp-bork/gunc_workflow/blob/master/.github/PULL_REQUEST_TEMPLATE.md,1,1
/grp-bork/gunc_workflow/blob/master/.github/workflows/awstest.yml,1,1
/grp-bork/gunc_workflow/blob/master/.github/workflows/branch.yml,1,1
/grp-bork/gunc_workflow/blob/master/.github/workflows/linting_comment.yml,1,1
/grp-bork/gunc_workflow/blob/master/CODE_OF_CONDUCT.md,1,1
/grp-bork/gunc_workflow/forks,1,1
/grp-bork/gunc_workflow/graphs/commit-activity,1,1
