url_path,views_total,views_unique
/grp-bork/gunc_workflow,27,2
/grp-bork/gunc_workflow/blob/master/nextflow.config,16,1
/grp-bork/gunc_workflow/tree/master/docs,14,1
/grp-bork/gunc_workflow/blob/master/main.nf,11,1
/grp-bork/gunc_workflow/blob/master/nextflow_schema.json,11,1
/grp-bork/gunc_workflow/blob/master/clowm_info.json,8,1
/grp-bork/gunc_workflow/blob/master/docs/output.md,8,1
/grp-bork/gunc_workflow/blob/master/docs/usage.md,8,1
/grp-bork/gunc_workflow/commits/master,7,1
/grp-bork/gunc_workflow/edit/master/README.md,7,1
