url_path,views_total,views_unique
/grp-bork/gunc_workflow,13,2
/grp-bork/gunc_workflow/tree/master/docs,12,1
/grp-bork/gunc_workflow/blob/master/clowm_info.json,10,1
/grp-bork/gunc_workflow/blob/master/nextflow.config,10,1
/grp-bork/gunc_workflow/edit/master/README.md,9,1
/grp-bork/gunc_workflow/blob/master/README.md,8,1
/grp-bork/gunc_workflow/releases/new,6,2
/grp-bork/gunc_workflow/tree/master,6,2
/grp-bork/gunc_workflow/blob/master/docs/output.md,6,1
/grp-bork/gunc_workflow/blob/master/docs/usage.md,6,1
